rank,symbol,score,metric_net_profit_margin,metric_roe,metric_roa,metric_gross_margin,metric_current_ratio,metric_quick_ratio,metric_cash_ratio,metric_debt_to_equity,metric_debt_to_assets,metric_interest_coverage
1,TUPRS.IS,,0.03033,0.07552,0.04572,0.08609,1.223,0.781,0,13.531,0,0
2,TOASO.IS,,0.0068300003,0.022160001,-0.0211,0.05474,1.384,0.981,0,67.302,0,0
3,ASELS.IS,,0.13187,0.11788,0.07362,0.31778,1.339,0.495,0,21.635,0,0
4,BIMAS.IS,,0.02333,0.109510005,0.01596,0.18267,0.948,0.432,0,33.987,0,0
5,EREGL.IS,,0.026300002,0.02257,0.0076,0.07247,2.354,1.224,0,49.187,0,0
6,FROTO.IS,,0.048309997,0.26906002,0.0505,0.08219,1.27,0.833,0,106.862,0,0
7,GARAN.IS,,0.36568,0.30693,0.03143,0.0,0.0,0.0,0,0.0,0,0
8,HEKTS.IS,,-0.56601,-0.26127002,-0.07524,-0.2314,1.058,0.427,0,61.887,0,0
9,ISCTR.IS,,0.16416,0.17466,0.01647,0.0,0.0,0.0,0,0.0,0,0
10,KCHOL.IS,,-0.00245,-0.01897,0.0053100004,0.15074,0.891,0.732,0,109.822,0,0
11,KOZAL.IS,,0.29378,0.085200004,0.0135,0.3806,7.693,6.789,0,0.008,0,0
12,KRDMD.IS,,-0.062230002,-0.06924,0.00093999994,0.03748,1.349,0.412,0,14.159,0,0
13,MGROS.IS,,0.01869,0.10937,0.03624,0.23488002,0.797,0.322,0,39.346,0,0
14,PGSUS.IS,,0.11771,0.19499001,0.04138,0.20448999,1.065,0.879,0,198.131,0,0
15,SAHOL.IS,,-0.03742,-0.02816,-0.00442,0.0,0.0,0.0,0,0.0,0,0
16,SASA.IS,,-0.22399001,-0.07865,0.0029,0.10484,0.284,0.135,0,97.962,0,0
17,SISE.IS,,0.01464,0.01228,0.00149,0.24861,1.2,0.706,0,65.568,0,0
18,TAVHL.IS,,0.02676,0.03803,0.038399998,0.3815,0.776,0.563,0,117.964,0,0
19,THYAO.IS,,0.12564,0.16129999,0.03349,0.18186001,0.922,0.71,0,77.415,0,0
20,AKBNK.IS,,0.28202,0.17959999,0.016339999,0.0,0.0,0.0,0,0.0,0,0
