rank,symbol,score,market,metric_symbol,metric_net_profit_margin,metric_roe,metric_roa,metric_gross_margin,metric_current_ratio,metric_quick_ratio,metric_cash_ratio,metric_debt_to_equity,metric_debt_to_assets,metric_interest_coverage,score_change_7d,score_change_30d,volatility
1,KOZAL.IS,0.88,BIST,KOZAL.IS,0.29378,0.085200004,0.0135,0.3806,7.693,6.789,0.0,0.008,0.0,0.0,0.0772,-0.0347,0.0462
2,EREGL.IS,0.2415,BIST,EREGL.IS,0.026300002,0.02257,0.0076,0.07247,2.354,1.224,0.0,49.187,0.0,0.0,0.0848,0.036,0.0273
3,GARAN.IS,0.2122,BIST,GARAN.IS,0.36568,0.30693,0.03143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0634,-0.0277,0.017
4,AKBNK.IS,0.1759,BIST,AKBNK.IS,0.28202,0.17959999,0.016339999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.025,0.0574,0.0478
5,ASELS.IS,0.1745,BIST,ASELS.IS,0.13187,0.11788,0.07362,0.31778,1.339,0.495,0.0,21.635,0.0,0.0,0.052,0.0014,0.0169
6,FROTO.IS,0.1615,BIST,FROTO.IS,0.048309997,0.26906002,0.0505,0.08219,1.27,0.833,0.0,106.862,0.0,0.0,-0.05,-0.009,0.0409
7,PGSUS.IS,0.1606,BIST,PGSUS.IS,0.11771,0.19499001,0.04138,0.20448999,1.065,0.879,0.0,198.131,0.0,0.0,-0.093,-0.0534,0.0492
8,TOASO.IS,0.157,BIST,TOASO.IS,0.0068300003,0.022160001,-0.0211,0.05474,1.384,0.981,0.0,67.302,0.0,0.0,0.0348,0.0412,0.0227
9,TUPRS.IS,0.1446,BIST,TUPRS.IS,0.03033,0.07552,0.04572,0.08609,1.223,0.781,0.0,13.531,0.0,0.0,-0.0358,0.0189,0.0207
10,THYAO.IS,0.1427,BIST,THYAO.IS,0.12564,0.16129999,0.03349,0.18186001,0.922,0.71,0.0,77.415,0.0,0.0,-0.0606,-0.076,0.038
11,SISE.IS,0.1329,BIST,SISE.IS,0.01464,0.01228,0.00149,0.24861,1.2,0.706,0.0,65.568,0.0,0.0,0.025,-0.0176,0.012
12,ISCTR.IS,0.1316,BIST,ISCTR.IS,0.16416,0.17466,0.01647,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0862,-0.0091,0.0498
13,KRDMD.IS,0.1264,BIST,KRDMD.IS,-0.062230002,-0.06924,0.00093999994,0.03748,1.349,0.412,0.0,14.159,0.0,0.0,0.0321,0.0585,0.0441
14,TAVHL.IS,0.1126,BIST,TAVHL.IS,0.02676,0.03803,0.038399998,0.3815,0.776,0.563,0.0,117.964,0.0,0.0,-0.0489,0.0702,0.0169
15,KCHOL.IS,0.1096,BIST,KCHOL.IS,-0.00245,-0.01897,0.0053100004,0.15074,0.891,0.732,0.0,109.822,0.0,0.0,-0.0378,-0.0094,0.0413
16,BIMAS.IS,0.1034,BIST,BIMAS.IS,0.02333,0.109510005,0.01596,0.18267,0.948,0.432,0.0,33.987,0.0,0.0,0.0138,0.0537,0.0113
17,HEKTS.IS,0.1034,BIST,HEKTS.IS,-0.56601,-0.26127002,-0.07524,-0.2314,1.058,0.427,0.0,61.887,0.0,0.0,-0.0319,0.0053,0.0415
18,MGROS.IS,0.0961,BIST,MGROS.IS,0.01869,0.10937,0.03624,0.23488002,0.797,0.322,0.0,39.346,0.0,0.0,0.0706,-0.0336,0.0359
19,SAHOL.IS,0.0892,BIST,SAHOL.IS,-0.03742,-0.02816,-0.00442,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0351,0.0632,0.0246
20,SASA.IS,0.0328,BIST,SASA.IS,-0.22399001,-0.07865,0.0029,0.10484,0.284,0.135,0.0,97.962,0.0,0.0,-0.0865,0.0378,0.044
