iter	Logloss
0	0.5093440863
1	0.4185700103
2	0.3581435387
3	0.3348422736
4	0.3154948964
5	0.3072234889
6	0.3004637624
7	0.2894977944
8	0.2841920792
9	0.2726825573
10	0.2672397842
11	0.2661358809
12	0.2625708328
13	0.2557378921
14	0.2543128643
15	0.2523250978
16	0.2430513466
17	0.2422448707
18	0.2363878791
19	0.2288669115
20	0.2185073351
21	0.2181346523
22	0.2116804308
23	0.2110350837
24	0.2095746147
25	0.2031196296
26	0.1979474721
27	0.1908652087
28	0.1875328656
29	0.1802157856
30	0.177564991
31	0.1708845613
32	0.1633965296
33	0.1590740949
34	0.1554382943
35	0.1512793346
36	0.1455792685
37	0.1417106399
38	0.1388881124
39	0.1362882997
40	0.1318912374
41	0.128500955
42	0.1253644712
43	0.1235158365
44	0.1227844089
45	0.1186443694
46	0.1167838689
47	0.1150790758
48	0.1129604861
49	0.1101958405
50	0.1075443309
51	0.1044006012
52	0.1016464945
53	0.1009401437
54	0.09879187641
55	0.09387940528
56	0.09182624112
