iter	Passed	Remaining
0	1	345
1	5	895
2	7	764
3	10	834
4	13	837
5	14	726
6	14	663
7	18	696
8	19	664
9	20	644
10	23	639
11	24	630
12	26	615
13	27	587
14	28	568
15	29	556
16	31	563
17	33	551
18	35	560
19	37	555
20	39	552
21	40	539
22	43	557
23	45	553
24	46	543
25	49	552
26	51	550
27	52	542
28	53	530
29	56	536
30	57	532
31	59	526
32	60	522
33	63	529
34	66	531
35	70	547
36	72	551
37	75	551
38	77	549
39	79	547
40	80	541
41	82	541
42	83	535
43	85	530
44	86	521
45	90	530
46	91	525
47	92	519
48	95	522
49	98	524
50	99	519
51	102	520
52	104	519
53	104	511
54	106	509
55	110	515
56	112	511
